Region,School Name,BEIS School ID,Division,District,K Total,G1 Total,G2 Total,G3 Total,G4 Total,G5 Total,G6 Total,G7 Total,G8 Total,G9 Total,G10 Total,G11 STEM Total,G11 HUMSS Total,G11 ABM Total,G11 GAS Total,G11 TVL Total,G11 SPORTS Total,G11 ARTS Total,G11 PBM Total,G12 STEM Total,G12 HUMSS Total,G12 ABM Total,G12 GAS Total,G12 TVL Total,G12 SPORTS Total,G12 ARTS Total,G12 PBM Total
Region I,Cabulalaan Elementary School,100015,Ilocos Norte,Bacarra II,57,41,35,45,61,57,74,39,47,45,93,96,52,58,38,20,86,55,42,41,60,67,82,32,75,16,64
Region I,Cadaratan Elementary School,100016,Ilocos Norte,Bacarra II,45,14,62,49,96,43,57,84,71,30,78,27,24,51,65,46,99,40,80,15,40,29,34,36,55,66,49
Region I,Calioet Elementary School,100017,Ilocos Norte,Bacarra II,14,39,85,28,67,45,85,30,27,71,47,88,22,43,72,71,54,55,30,40,81,40,52,68,84,35,59
Region I,Casilian Elementary School,100018,Ilocos Norte,Bacarra II,24,61,59,60,58,86,6,36,28,54,60,57,39,52,40,31,87,71,44,34,80,86,33,67,57,57,82
Region I,Paninaan Elementary School,100019,Ilocos Norte,Bacarra II,54,41,68,76,78,87,58,50,32,47,50,53,32,67,78,96,55,44,89,63,29,32,83,13,57,44,28
Region I,Parang E/S,100020,Ilocos Norte,Bacarra II,29,8,42,44,33,53,80,38,19,41,48,16,32,38,43,73,78,64,71,36,50,78,19,27,82,16,45
Region I,Pungto Elementary School,100021,Ilocos Norte,Bacarra II,63,54,42,23,57,61,39,68,47,92,27,82,33,69,42,41,44,37,42,49,73,79,70,58,54,47,66
Region I,San Agustin Elementary School,100022,Ilocos Norte,Bacarra II,14,26,44,86,62,51,50,68,87,43,18,17,48,52,42,48,17,37,68,75,27,26,31,66,49,29,30
Region I,Tubburan Elementary School,100023,Ilocos Norte,Bacarra II,22,83,26,54,62,54,34,23,31,38,65,19,66,80,52,34,34,70,55,69,31,53,71,50,45,58,69
Region I,Casilian Primary School - Taguipuro Annex,150023,Ilocos Norte,Bacarra II,40,51,64,29,14,40,59,31,82,74,62,45,52,58,81,66,50,48,41,54,19,71,50,51,58,74,80
Region I,Ar-Arusip Elementary School,100024,Ilocos Norte,Badoc,23,17,22,54,22,53,48,55,31,65,78,48,38,58,30,66,41,44,65,56,19,41,16,31,23,90,81
Region I,Badoc North Central School,100025,Ilocos Norte,Badoc,27,36,58,54,56,40,35,50,66,39,44,74,97,72,42,53,19,16,23,50,63,56,37,59,26,64,57
Region I,Badoc South Central School SPED Center,100026,Ilocos Norte,Badoc,64,36,78,20,71,67,43,40,44,21,78,47,97,37,48,37,41,67,55,56,38,41,66,30,80,85,28
Region I,Camanga Elementary School,100027,Ilocos Norte,Badoc,45,32,10,69,47,41,82,79,73,6,67,83,42,61,47,80,40,42,33,51,77,79,64,39,71,67,45
Region I,Gabut Elementary School,100029,Ilocos Norte,Badoc,49,75,23,38,33,79,52,51,70,66,42,77,36,30,53,64,62,79,74,21,55,78,66,26,15,17,41
Region I,Labut Elementary School,100030,Ilocos Norte,Badoc,29,9,83,69,26,73,42,36,61,62,52,38,22,25,31,36,50,22,76,77,15,95,38,68,75,53,41
Region I,Lasien School,100031,Ilocos Norte,Badoc,47,38,47,56,48,60,44,52,15,46,71,55,3,74,58,47,54,46,19,92,54,42,16,33,60,27,31
Region I,Mabusag-Napu Elementary School,100032,Ilocos Norte,Badoc,72,78,63,18,23,13,53,60,86,54,40,39,47,53,25,64,77,32,33,64,11,67,54,97,51,79,36
Region I,Madupayas Elementary School,100033,Ilocos Norte,Badoc,17,62,72,51,29,42,40,46,45,56,28,61,74,46,43,72,63,72,54,45,44,25,61,63,51,73,47
Region I,Morong Elementary School,100034,Ilocos Norte,Badoc,48,54,44,50,74,28,10,48,23,64,67,50,60,72,31,26,26,77,30,58,9,84,72,57,64,28,7
Region I,Nagrebcan Elementary School,100035,Ilocos Norte,Badoc,68,77,68,27,40,9,52,36,35,52,45,78,73,53,83,55,54,75,2,52,44,43,19,44,45,86,52
Region I,Pagsanahan Elementary School,100036,Ilocos Norte,Badoc,46,39,53,61,29,68,79,61,18,94,88,72,56,19,52,29,67,19,33,45,23,73,50,42,59,52,40
Region I,Paltit Elementary School,100037,Ilocos Norte,Badoc,28,40,79,52,74,48,49,64,67,20,56,39,50,87,56,63,56,53,75,44,71,76,74,80,65,82,60
Region I,Pasuc-Parang Elementary School,100038,Ilocos Norte,Badoc,42,30,29,31,60,31,30,29,36,56,63,59,54,52,54,57,52,47,38,52,30,41,50,45,41,70,74
Region I,Saud Elementary School,100039,Ilocos Norte,Badoc,41,86,86,55,38,59,12,26,58,49,43,58,34,53,34,59,62,49,36,72,63,75,49,38,59,75,33
Region I,Sta. Cruz Elementary School,100040,Ilocos Norte,Badoc,51,30,48,25,58,18,44,35,40,41,63,53,65,50,53,72,36,34,66,66,16,42,82,82,10,43,36
Region I,Turod Elementary School,100041,Ilocos Norte,Badoc,49,45,63,26,78,44,56,90,21,38,41,75,58,88,58,34,36,28,58,10,42,23,77,45,39,16,90
Region I,Virgen Milagrosa Elementary School,100042,Ilocos Norte,Badoc,45,38,71,17,29,52,27,50,23,58,70,30,53,42,47,49,81,45,33,14,59,66,72,57,41,46,88
Region I,Aring Elementary School,150001,Ilocos Norte,Badoc,79,56,58,19,21,30,20,65,41,58,13,61,47,34,11,86,82,51,74,56,17,39,38,67,57,55,51
Region I,Mabusag Sur Elementary School,150002,Ilocos Norte,Badoc,57,56,3,35,12,60,64,64,40,89,66,76,44,29,70,94,54,45,85,44,69,85,71,33,47,48,66
Region I,Nagrebcan NHS,300021,Ilocos Norte,Badoc,76,31,33,67,53,48,74,30,45,48,62,19,64,44,51,60,79,53,88,43,63,69,86,35,48,76,58
Region I,Pagsanahan NHS,300023,Ilocos Norte,Badoc,86,68,63,59,74,44,29,60,68,41,62,93,33,70,57,50,43,85,34,30,51,34,42,29,79,15,65
Region I,"Badoc Junior College, Inc.",400002,Ilocos Norte,Badoc,51,46,48,29,98,51,50,71,87,56,61,55,58,63,60,24,48,60,33,67,87,34,52,60,50,78,78
Region I,"IGAMA Colleges Foundation, Inc.",400003,Ilocos Norte,Badoc,62,19,34,40,58,50,75,52,32,56,73,42,72,71,58,51,41,58,16,33,19,49,38,12,54,50,86
Region I,"Juan Luna Memorial Academy, Inc.",400004,Ilocos Norte,Badoc,39,56,61,78,59,34,51,36,78,50,19,95,29,47,64,63,51,36,21,33,63,30,41,13,21,60,55
Region I,St. Elizabeth Elementary School,400005,Ilocos Norte,Badoc,36,62,61,42,28,47,78,63,40,62,38,86,27,50,65,60,54,25,18,96,81,54,56,67,50,8,99
Region I,"Badoc Little Angels Learning Center, Inc.",410025,Ilocos Norte,Badoc,38,48,10,55,33,18,34,43,41,16,14,63,18,31,45,80,69,53,58,44,72,43,35,5,61,90,42
Region I,Caraitan Integrated School,500000,Ilocos Norte,Badoc,48,96,78,19,47,29,24,47,72,85,94,61,52,55,59,67,45,55,49,50,35,31,52,54,24,28,18
Region I,Abaca Elementary School,100043,Ilocos Norte,Bangui,54,47,48,88,31,19,42,64,64,59,21,50,89,28,10,15,44,68,37,50,61,30,86,39,27,2,67
Region I,Alao-ao Elementary School,100044,Ilocos Norte,Bangui,29,49,38,53,7,77,38,37,23,48,8,68,64,42,40,71,54,32,46,68,55,67,47,60,74,36,72
Region I,Bacsil Elementary School,100045,Ilocos Norte,Bangui,55,49,33,36,65,45,66,30,7,56,32,20,45,22,61,55,66,84,27,23,31,25,26,54,68,50,76
Region I,Banban Elementary School,100046,Ilocos Norte,Bangui,31,86,41,52,58,88,70,43,60,45,51,24,56,42,18,75,87,77,31,63,48,35,72,50,65,59,77
Region I,Bangui CES,100047,Ilocos Norte,Bangui,86,45,74,36,46,59,75,40,23,82,43,67,38,33,55,73,41,4,43,44,17,17,56,81,56,95,44
Region I,Baruyen Elementary School,100048,Ilocos Norte,Bangui,27,69,8,69,58,46,65,56,67,86,15,19,12,76,66,59,25,47,35,73,75,58,86,34,60,54,19
Region I,Dadaor Elementary School,100049,Ilocos Norte,Bangui,62,67,29,35,49,26,25,72,38,41,22,12,65,22,28,46,17,43,70,20,47,70,61,62,71,73,71
Region I,Dumalneg Elementary School,100050,Ilocos Norte,Bangui,33,56,69,40,14,13,49,12,72,44,62,71,38,48,45,54,18,39,57,87,69,36,48,27,77,47,28
Region I,Lanao Elementary School,100051,Ilocos Norte,Bangui,17,59,47,49,15,22,75,52,29,27,50,42,65,58,42,83,80,22,74,58,39,88,29,63,55,63,32
Region I,Masikil Elementary School,100052,Ilocos Norte,Bangui,61,86,17,54,47,10,70,23,45,57,54,36,59,58,80,69,57,72,80,12,26,63,42,57,26,20,26
Region I,Nagbalagan Elementary School,100053,Ilocos Norte,Bangui,29,58,36,86,52,46,92,82,72,69,16,85,80,25,69,69,68,9,47,55,47,72,77,39,26,76,50
Region I,Paddagan Elementary School,100054,Ilocos Norte,Bangui,64,51,64,66,29,60,69,43,30,74,79,48,43,11,64,53,44,23,98,70,34,53,60,77,77,62,55
Region I,San Isidro Elementary School,100055,Ilocos Norte,Bangui,54,91,70,54,39,33,64,27,66,37,24,86,73,93,53,68,24,62,62,55,63,49,55,28,70,51,73
Region I,Suyo Elementary School,100056,Ilocos Norte,Bangui,63,56,64,70,72,67,50,73,60,59,42,59,66,71,89,24,78,50,74,46,45,35,7,46,11,89,91
Region I,Taguipuro Elementary School,100057,Ilocos Norte,Bangui,35,63,69,46,20,74,78,49,22,60,49,46,55,36,41,79,71,44,72,85,68,60,64,67,47,64,55
Region I,Bangui NHS,300003,Ilocos Norte,Bangui,63,63,28,71,29,70,50,50,55,94,52,38,44,28,56,78,59,52,59,54,45,39,69,7,62,45,32
Region I,Dumalneg NHS,300017,Ilocos Norte,Bangui,29,22,4,39,44,28,93,99,46,61,83,31,34,41,47,61,59,18,63,78,41,69,50,32,74,44,35
Region I,BANBAN NHS,320801,Ilocos Norte,Bangui,35,70,51,55,67,36,31,58,61,26,52,88,59,37,60,72,9,15,36,67,31,31,32,42,41,22,39
Region I,LANAO NATIONAL HIGH SCHOOL,320802,Ilocos Norte,Bangui,57,51,67,28,36,71,30,37,56,33,19,31,15,60,46,52,91,31,74,75,21,40,38,80,45,9,59
Region I,"St. Lawrence the Deacon Academy of Bangui, Ilocos Norte, Inc.",400006,Ilocos Norte,Bangui,29,33,25,20,88,55,55,32,47,47,63,42,47,41,62,93,36,33,15,40,30,50,9,60,47,15,68
Region I,Bangsar Elementary School,100058,Ilocos Norte,Banna (Espiritu),12,68,43,41,33,41,53,64,26,62,61,57,75,57,49,40,46,39,39,66,70,44,73,93,26,78,53
Region I,Banna Central Elementary School,100059,Ilocos Norte,Banna (Espiritu),45,47,94,10,71,33,29,74,29,18,64,36,66,56,91,53,83,63,25,81,57,60,41,66,60,28,44
Region I,Barbarangay Elementary School,100060,Ilocos Norte,Banna (Espiritu),54,73,80,55,55,71,45,43,76,67,85,73,64,54,74,57,45,55,45,31,40,32,36,71,44,87,52
Region I,Bomitog Elementary School,100061,Ilocos Norte,Banna (Espiritu),46,84,60,53,22,68,20,19,72,43,37,43,83,72,65,50,98,71,61,90,26,61,53,60,8,48,68
Region I,Bugasi Elementary School,100062,Ilocos Norte,Banna (Espiritu),29,53,44,67,68,64,27,68,39,65,46,45,51,50,56,29,23,58,38,48,26,92,38,82,28,80,44
Region I,Caestebanan Elementary School,100063,Ilocos Norte,Banna (Espiritu),62,91,69,7,49,34,34,38,35,58,80,16,29,60,85,68,53,60,32,84,54,64,46,77,35,34,40
Region I,Caribquib Elementary School,100064,Ilocos Norte,Banna (Espiritu),49,56,48,35,51,40,24,62,14,33,26,49,21,38,74,38,63,36,47,12,14,49,58,45,20,58,48
Region I,Catagtaguen Elementary School,100065,Ilocos Norte,Banna (Espiritu),82,98,20,74,83,59,18,43,66,67,41,97,24,26,54,48,24,54,68,76,62,61,36,43,34,7,64
Region I,Crispina Elementary School,100066,Ilocos Norte,Banna (Espiritu),48,17,75,86,43,41,51,50,42,95,86,10,51,49,37,54,14,27,40,85,24,36,67,48,62,34,40
Region I,Imelda Elementary School,100067,Ilocos Norte,Banna (Espiritu),81,45,45,95,51,26,52,59,88,34,58,65,32,49,48,48,34,60,77,12,23,46,27,35,9,10,27
Region I,Lading Elementary School,100068,Ilocos Norte,Banna (Espiritu),25,14,76,57,48,28,60,51,64,40,23,61,12,60,49,44,18,52,79,52,88,22,54,31,69,53,68
Region I,Macayepyep Elementary School,100069,Ilocos Norte,Banna (Espiritu),21,73,57,65,30,42,46,38,68,54,42,30,56,54,45,84,62,91,61,51,74,52,45,56,29,84,29
Region I,Nagpatayan Elementary School,100070,Ilocos Norte,Banna (Espiritu),63,87,44,79,39,66,37,17,65,29,72,60,18,47,22,78,43,50,27,16,58,51,52,57,52,55,59
Region I,Quiaoit Memorial Elementary School,100071,Ilocos Norte,Banna (Espiritu),74,23,40,38,80,72,21,21,42,58,65,14,53,54,76,85,59,84,34,10,74,35,73,43,59,75,56
Region I,Sinamar Elementary School,100072,Ilocos Norte,Banna (Espiritu),73,28,50,58,51,35,54,8,51,53,99,14,65,90,71,56,59,52,45,24,21,76,47,64,16,37,34
Region I,Tabtabagan Elementary School,100073,Ilocos Norte,Banna (Espiritu),85,87,63,53,52,59,44,33,95,79,62,60,72,44,43,58,83,56,69,29,44,41,54,50,70,50,62
Region I,VALDEZ ELEMENTARY SCHOOL,100074,Ilocos Norte,Banna (Espiritu),71,52,43,71,57,28,29,74,38,31,69,46,10,71,83,55,37,61,33,59,69,44,60,44,45,19,8
Region I,Banna National High School,300004,Ilocos Norte,Banna (Espiritu),56,56,44,69,57,94,75,7,40,44,65,94,67,57,37,50,36,83,60,58,35,58,75,63,26,73,17
Region I,Caestebanan NHS,300008,Ilocos Norte,Banna (Espiritu),87,20,38,79,65,55,56,13,69,29,51,81,56,46,50,59,46,50,59,22,57,67,31,38,24,42,37
Region I,Caribquib NHS,300010,Ilocos Norte,Banna (Espiritu),27,59,51,58,73,76,77,61,52,32,69,45,62,68,65,67,49,48,37,77,81,86,35,78,46,47,48
Region I,Catagtaguen National High School,300011,Ilocos Norte,Banna (Espiritu),50,28,58,44,26,73,33,41,89,59,25,50,19,38,42,28,63,68,77,58,41,39,23,19,44,77,61
Region I,Banna Academy Inc.,400013,Ilocos Norte,Banna (Espiritu),12,22,82,42,87,46,26,71,40,20,46,21,69,25,45,92,21,85,56,54,51,64,27,80,23,22,37
Region I,"Banna Church of Christ Disciples Learning Center, Inc.",408143,Ilocos Norte,Banna (Espiritu),25,52,43,37,56,32,77,51,49,79,87,13,45,13,6,66,67,53,25,42,68,62,71,40,24,27,45
Region I,Ablan Community School,100100,Ilocos Norte,Burgos,47,34,27,15,88,55,23,47,54,54,59,43,24,39,60,16,61,25,23,58,65,41,35,28,51,49,54
Region I,Agaga Elementary School,100101,Ilocos Norte,Burgos,83,36,80,66,55,21,34,27,48,63,58,41,74,59,52,45,8,59,39,51,68,55,56,28,62,95,41
Region I,Bayog Elementary School,100102,Ilocos Norte,Burgos,38,49,58,62,72,35,80,34,44,83,66,22,48,53,69,74,89,50,19,16,36,33,29,65,50,66,66
Region I,BLISS ELEMENTARY SCHOOL,100103,Ilocos Norte,Burgos,21,52,75,52,71,72,66,52,49,55,33,64,38,72,30,59,61,79,61,49,22,76,76,34,73,6,9
Region I,Bobon Elementary School,100104,Ilocos Norte,Burgos,90,11,45,15,76,58,56,68,42,56,42,60,33,16,53,35,27,63,57,45,54,73,62,75,46,20,80
Region I,Burgos Central Elementary School,100105,Ilocos Norte,Burgos,18,26,56,71,13,42,65,30,79,53,49,20,34,34,39,62,64,45,50,20,68,58,50,35,46,73,47
Region I,Nagsurot Elementary School,100106,Ilocos Norte,Burgos,32,76,55,86,56,32,69,31,53,32,45,55,33,47,77,68,7,83,47,18,13,73,11,35,14,51,57
Region I,Paayas Elementary School,100107,Ilocos Norte,Burgos,49,41,74,32,82,55,10,46,64,49,44,47,51,35,43,37,27,51,74,45,49,73,64,28,55,54,95
Region I,Saoit-Pagali Elementary School,100108,Ilocos Norte,Burgos,82,81,61,43,52,39,51,12,44,67,5,58,66,23,79,51,77,48,28,56,63,22,56,21,59,54,22
Region I,Tanap Elementary School,100109,Ilocos Norte,Burgos,21,52,22,44,24,43,38,51,16,86,52,88,84,76,67,45,77,94,50,36,77,61,77,35,64,25,82
Region I,Burgos Agro-Industrial School,300006,Ilocos Norte,Burgos,35,60,79,69,45,29,5,13,87,46,24,47,46,22,67,47,51,76,41,93,38,29,75,71,75,60,75
Region I,Bimmanga Elementary School,100110,Ilocos Norte,Currimao,67,52,40,53,36,48,45,55,37,35,35,23,53,80,52,86,29,41,60,82,65,16,47,17,34,54,74
Region I,Comcomloong-Anggapang Elementary School,100111,Ilocos Norte,Currimao,58,33,23,23,23,71,80,44,49,44,67,24,44,46,59,41,28,67,39,73,58,52,49,34,80,45,38
Region I,Doña Josefa E. Marcos Elementary School,100112,Ilocos Norte,Currimao,62,40,40,55,24,51,64,57,33,56,81,42,45,41,22,46,55,76,73,56,30,35,48,20,66,83,63
Region I,Langayan Elementary School,100113,Ilocos Norte,Currimao,56,12,50,77,23,47,28,53,51,37,59,32,72,53,59,82,74,66,71,36,39,71,88,75,34,55,76
Region I,Maglaoi Elementary School,100114,Ilocos Norte,Currimao,43,16,27,87,70,57,72,72,33,11,52,40,39,57,87,17,52,69,60,48,51,30,25,30,89,84,30
Region I,Paguludan PS,100115,Ilocos Norte,Currimao,83,86,62,56,15,52,34,15,65,54,17,55,48,58,47,87,23,32,25,45,38,22,32,77,96,15,55
Region I,Pangil Elementary School,100116,Ilocos Norte,Currimao,70,39,73,24,64,25,49,47,40,51,57,61,56,16,31,61,50,33,8,78,10,36,57,46,30,54,46
Region I,Pias-Gaang Elementary School,100117,Ilocos Norte,Currimao,73,53,13,17,31,43,58,57,82,26,76,58,55,93,40,15,35,41,55,79,51,46,71,78,4,18,72
Region I,Wilbur C. Go Elementary School,150012,Ilocos Norte,Currimao,49,33,90,66,15,77,38,88,36,42,53,41,61,46,80,55,79,22,66,33,20,83,63,68,71,49,57
Region I,Wilbur C. Go NHS,300013,Ilocos Norte,Currimao,41,13,70,22,62,29,53,47,71,14,74,57,72,57,28,72,46,42,29,56,61,56,68,64,69,61,49
Region I,Currimao NHS,320805,Ilocos Norte,Currimao,73,41,56,28,31,68,84,36,52,55,55,67,80,36,70,97,17,52,69,58,43,81,59,46,24,43,78
Region I,Baresbes Elementary School,100118,Ilocos Norte,Dingras I,45,65,53,54,43,69,66,60,48,52,10,80,38,50,61,54,23,76,25,50,37,40,33,69,53,51,84
Region I,Barong Elementary School,100119,Ilocos Norte,Dingras I,64,37,51,84,45,77,36,38,35,17,33,51,60,25,65,47,25,49,57,81,85,57,36,39,49,32,63
Region I,Dingras Central Elementary School,100120,Ilocos Norte,Dingras I,38,18,10,33,55,57,74,35,40,60,65,38,50,24,47,31,86,58,54,68,46,46,28,59,17,49,10
Region I,Elizabeth-Lanas Elementary School,100121,Ilocos Norte,Dingras I,98,74,77,63,59,39,95,66,36,7,36,36,87,40,41,82,58,62,32,50,14,71,22,73,55,30,32
Region I,Francisco Elementary School,100122,Ilocos Norte,Dingras I,60,67,65,22,4,44,55,50,83,68,41,85,64,46,59,43,28,75,43,49,54,69,65,83,17,37,63
Region I,Medina Parado Elementary School,100123,Ilocos Norte,Dingras I,76,96,49,52,10,40,89,22,75,49,46,36,48,24,62,75,16,57,26,77,30,21,60,71,61,57,53
Region I,Saludares-Cali Elementary School,100124,Ilocos Norte,Dingras I,21,60,40,54,86,16,39,71,43,33,24,17,82,38,48,10,74,90,67,61,28,19,58,47,68,36,39
Region I,San Marcelino Elementary School,100125,Ilocos Norte,Dingras I,64,50,31,44,22,46,43,21,83,42,68,49,35,51,14,40,59,86,40,73,33,77,8,78,21,70,44
Region I,Sulquiano Elementary School,100126,Ilocos Norte,Dingras I,60,26,90,58,40,13,40,68,73,60,48,87,88,59,63,90,29,45,47,24,35,33,31,57,81,57,6
Region I,Ver Elementary School,100127,Ilocos Norte,Dingras I,58,81,31,31,54,35,71,38,44,84,52,85,12,29,29,32,40,48,44,53,22,44,30,67,23,81,45
Region I,Elizabeth Elementary School,150017,Ilocos Norte,Dingras I,60,59,25,48,76,29,32,65,45,47,15,9,49,43,29,75,66,80,51,80,53,48,42,39,24,51,26
Region I,Mabino Elementary School,150021,Ilocos Norte,Dingras I,85,46,19,52,41,74,83,50,19,42,51,57,84,76,83,22,47,29,23,61,41,63,35,33,30,70,89
Region I,Barong National High School,320806,Ilocos Norte,Dingras I,80,60,27,67,32,51,21,43,57,46,79,25,52,57,46,14,47,51,84,88,17,92,32,70,81,66,46
Region I,San Marcelino National High School,320807,Ilocos Norte,Dingras I,53,44,89,53,37,43,49,81,73,85,75,60,69,44,61,93,40,51,61,19,65,19,83,68,73,57,56
Region I,Bamasesamar National High School,320808,Ilocos Norte,Dingras I,66,60,75,37,61,44,43,24,92,59,24,45,55,73,41,51,50,79,56,63,30,37,89,29,45,36,84
Region I,Lt. Edgar Foz National High School,320809,Ilocos Norte,Dingras I,65,88,56,19,25,22,41,55,51,45,49,72,52,27,48,38,23,75,61,55,45,62,67,48,44,41,35
Region I,SUYO NATIONAL HIGH SCHOOL,320810,Ilocos Norte,Dingras I,47,41,86,57,55,19,34,69,50,61,20,42,88,69,48,16,79,54,42,46,19,64,47,54,24,37,32
Region I,"Dingras Faith Academy, Inc.",400011,Ilocos Norte,Dingras I,69,43,79,87,65,65,34,46,64,50,34,70,37,21,57,83,57,38,48,61,77,57,56,64,89,27,11
Region I,"St. Joseph Educational Center of Dingras, Inc",410007,Ilocos Norte,Dingras I,44,40,55,49,24,94,76,9,66,61,52,34,64,59,16,30,72,30,64,58,69,80,26,95,36,52,57
Region I,Bacsil Elementary School,100128,Ilocos Norte,Dingras II,47,38,47,76,34,75,75,91,30,61,85,68,73,21,47,32,34,18,53,58,27,16,50,43,23,46,51
Region I,Capasan Elementary School,100129,Ilocos Norte,Dingras II,44,59,37,36,72,22,89,95,40,55,34,59,79,47,40,18,54,11,40,69,30,46,32,22,22,30,57
Region I,Dingras West CES,100130,Ilocos Norte,Dingras II,65,50,44,34,21,72,54,9,37,13,56,68,72,10,33,64,57,41,52,52,70,80,76,15,59,50,93
Region I,Espiritu Elementary School,100131,Ilocos Norte,Dingras II,70,33,71,23,49,45,72,15,67,47,81,36,65,57,29,52,41,55,23,28,78,63,32,47,74,32,65
Region I,Hilaria Salvatierra Mem. Elementary School,100132,Ilocos Norte,Dingras II,59,15,65,64,46,80,48,29,66,71,32,86,56,70,63,29,19,79,94,44,66,8,7,46,94,56,45
Region I,Mandaloque Elementary School,100133,Ilocos Norte,Dingras II,64,71,65,47,22,32,37,60,66,54,30,66,64,4,30,38,20,10,48,79,40,30,93,11,55,58,31
Region I,Peralta Elementary School,100134,Ilocos Norte,Dingras II,80,58,88,55,11,87,54,16,47,55,76,70,32,77,33,57,84,17,90,96,20,32,73,34,45,51,65
Region I,San Esteban Elementary School,100135,Ilocos Norte,Dingras II,57,56,56,35,48,36,56,36,7,28,83,40,44,79,35,65,43,56,48,46,68,48,37,43,70,52,27
Region I,Sagpatan Elementary School,100136,Ilocos Norte,Dingras II,39,15,41,70,7,82,62,63,46,51,42,59,66,64,77,39,62,26,75,36,86,48,42,82,18,82,53
Region I,San Marcos Elementary School,100137,Ilocos Norte,Dingras II,50,92,74,30,71,23,69,51,25,53,81,36,48,64,35,46,22,32,92,10,69,57,34,54,63,8,42
Region I,Suyo Elementary School,100138,Ilocos Norte,Dingras II,62,21,29,91,61,69,67,41,28,51,78,69,11,24,98,33,68,42,25,60,9,7,52,59,69,71,49
