Region,Division,District,BEIS School ID,School Name,Province,Municipality,Legislative District,Barangay,Sector,School Subclassification,School Type,Modified COC,K Male,K Female,G1 Male,G1 Female,G2 Male,G2 Female,G3 Male,G3 Female,G4 Male,G4 Female,G5 Male,G5 Female,G6 Male,G6 Female,Elem NG Male,Elem NG Female,G7 Male,G7 Female,G8 Male,G8 Female,G9 Male,G9 Female,G10 Male,G10 Female,JHS NG Male,JHS NG Female,G11 ACAD ABM Male,G11 ACAD ABM Female,G11 ACAD HUMSS Male,G11 ACAD HUMSS Female,G11 ACAD STEM Male,G11 ACAD STEM Female,G11 ACAD GAS Male,G11 ACAD GAS Female,G11 ACAD PBM Male,G11 ACAD PBM Female,G11 TVL Male,G11 TVL Female,G11 SPORTS Male,G11 SPORTS Female,G11 ARTS Male,G11 ARTS Female,G12 ACAD ABM Male,G12 ACAD ABM Female,G12 ACAD HUMSS Male,G12 ACAD HUMSS Female,G12 ACAD STEM Male,G12 ACAD STEM Female,G12 ACAD GAS Male,G12 ACAD GAS Female,G12 ACAD PBM Male,G12 ACAD PBM Female,G12 TVL Male,G12 TVL Female,G12 SPORTS Male,G12 SPORTS Female,G12 ARTS Male,G12 ARTS Female
Region I,Ilocos Norte,Bacarra I,100011,Santo Cristo Elementary School,ILOCOS NORTE,BACARRA,1st District,SANTO CRISTO I (POB.),Public,DepED Managed,School with no Annexes,Purely ES,25,47,29,25,23,45,41,42,26,25,25,6,20,22,11,13,3,23,4,39,3,46,45,18,24,21,32,29,24,11,34,48,46,35,25,47,4,40,22,17,31,34,49,14,18,44,16,10,26,46,38,47,48,10,45,42,9,23
Region I,Ilocos Norte,Bacarra I,100012,Tambidao Elementary School,ILOCOS NORTE,BACARRA,1st District,TAMBIDAO,Public,DepED Managed,School with no Annexes,Purely ES,25,14,44,43,42,4,24,6,40,6,23,1,36,45,46,48,15,49,28,35,10,39,31,34,9,35,9,3,18,49,8,45,50,4,33,23,49,16,39,31,39,6,28,6,33,43,13,40,20,38,2,26,43,43,44,21,21,45
Region I,Ilocos Norte,Bacarra I,300002,Bacarra NCHS,ILOCOS NORTE,BACARRA,1st District,SANTA RITA (POB.),Public,DepED Managed,School with no Annexes,JHS with SHS,3,40,1,5,27,49,2,43,12,10,38,34,50,35,15,5,9,31,35,29,47,38,22,17,45,3,37,38,10,34,11,13,23,19,13,41,34,37,17,32,23,38,27,11,39,33,50,42,22,30,8,44,19,18,11,17,14,18
Region I,Ilocos Norte,Bacarra I,300007,Cadaratan National High School,ILOCOS NORTE,BACARRA,1st District,CADARATAN,Public,DepED Managed,School with no Annexes,JHS with SHS,10,16,49,42,32,21,24,9,35,13,13,39,47,10,43,48,21,46,39,8,12,48,36,43,27,49,23,19,10,33,13,46,35,32,40,13,36,46,45,6,9,1,39,18,3,39,20,50,20,42,16,27,17,33,44,37,9,13
Region I,Ilocos Norte,Bacarra I,400001,"St. Andrew Academy of Bacarra, Inc.",ILOCOS NORTE,BACARRA,1st District,SANTA RITA (POB.),Private,Sectarian ,School with no Annexes,JHS with SHS,6,20,28,38,43,45,38,48,20,8,36,23,21,29,26,14,38,35,8,40,20,2,22,46,40,7,5,34,19,18,19,15,5,28,43,30,12,36,39,29,4,17,34,47,15,24,31,20,11,46,36,47,3,41,36,27,11,3
Region I,Ilocos Norte,Bacarra I,410001,"The Riverdeep Academy, Inc.",ILOCOS NORTE,BACARRA,1st District,CABUSLIGAN,Private,Non-Sectarian ,School with no Annexes,Purely ES,17,17,12,23,28,30,32,13,11,27,8,38,48,34,22,33,14,5,45,23,13,43,26,16,9,8,4,5,50,40,10,41,25,24,45,7,39,7,26,30,10,7,47,32,21,35,3,24,16,49,37,6,42,46,27,42,1,50
Region I,Ilocos Norte,Bacarra I,410019,St. Andrew Grade School,ILOCOS NORTE,BACARRA,1st District,SANTA RITA (POB.),Private,Sectarian ,School with no Annexes,Purely ES,20,32,35,19,31,44,20,18,36,45,17,40,12,29,31,34,24,11,27,50,29,20,4,13,14,43,4,3,43,31,29,42,50,2,10,20,49,26,4,20,50,3,41,49,12,2,8,7,19,24,32,47,37,44,23,28,3,25
Region I,Ilocos Norte,Bacarra II,100013,Bangsirit Elementary School,ILOCOS NORTE,BACARRA,1st District,CABUSLIGAN,Public,DepED Managed,School with no Annexes,Purely ES,26,20,50,48,39,35,23,36,42,22,24,47,21,41,38,15,9,31,48,45,24,24,1,28,47,38,33,27,35,39,7,34,7,11,3,24,23,18,20,23,41,30,28,29,8,42,4,43,46,2,31,6,12,33,28,39,7,25
Region I,Ilocos Norte,Bacarra II,100014,Cabaruan Elementary School,ILOCOS NORTE,BACARRA,1st District,CABARUAN,Public,DepED Managed,School with no Annexes,Purely ES,22,35,37,35,30,15,41,45,42,34,45,4,12,24,34,47,33,9,1,33,14,2,2,9,7,1,50,25,3,43,19,7,35,3,17,30,47,26,50,8,49,21,2,42,1,23,15,1,39,12,9,16,44,12,49,4,43,28
Region I,Ilocos Norte,Bacarra II,100015,Cabulalaan Elementary School,ILOCOS NORTE,BACARRA,1st District,CABULALAAN,Public,DepED Managed,School with no Annexes,Purely ES,41,16,33,8,20,15,40,5,48,13,9,48,43,31,26,32,1,38,28,19,5,40,47,46,8,10,32,26,6,46,46,50,9,29,33,9,10,10,46,40,41,14,45,22,34,26,27,14,37,45,31,33,22,10,32,43,5,11
Region I,Ilocos Norte,Bacarra II,100016,Cadaratan Elementary School,ILOCOS NORTE,BACARRA,1st District,CADARATAN,Public,DepED Managed,School with no Annexes,Purely ES,17,28,7,7,45,17,27,22,47,49,27,16,19,38,40,34,48,36,33,38,8,22,38,40,46,33,2,49,3,21,14,13,45,20,41,39,26,20,50,49,17,23,11,18,33,7,5,10,17,17,42,7,12,24,25,30,27,39
Region I,Ilocos Norte,Bacarra II,100017,Calioet Elementary School,ILOCOS NORTE,BACARRA,1st District,CALIOET-LIBONG,Public,DepED Managed,School with no Annexes,Purely ES,4,10,27,12,44,41,2,26,19,48,43,2,45,40,4,22,2,28,12,15,28,43,46,1,26,16,3,40,11,11,49,39,41,31,20,10,36,35,20,34,11,44,30,10,41,40,18,22,15,37,25,34,26,42,37,47,5,30
Region I,Ilocos Norte,Bacarra II,100018,Casilian Elementary School,ILOCOS NORTE,BACARRA,1st District,CASILIAN,Public,DepED Managed,Mother school,Purely ES,12,12,50,11,30,29,48,12,14,44,47,39,3,3,11,24,2,34,2,26,16,38,34,26,31,31,32,20,26,13,38,19,26,14,21,23,19,12,42,45,27,44,40,46,30,50,14,20,27,6,48,34,48,19,27,30,17,40
Region I,Ilocos Norte,Bacarra II,100019,Paninaan Elementary School,ILOCOS NORTE,BACARRA,1st District,PANINAAN,Public,DepED Managed,School with no Annexes,Purely ES,30,24,35,6,48,20,50,26,45,33,45,42,37,21,4,34,7,43,24,8,28,19,7,43,46,40,32,35,10,22,25,28,43,35,47,42,46,50,5,50,10,34,19,13,24,5,35,28,50,33,24,4,6,7,25,32,22,22
Region I,Ilocos Norte,Bacarra II,100020,Parang E/S,ILOCOS NORTE,BACARRA,1st District,DURIPES,Public,DepED Managed,School with no Annexes,Purely ES,6,23,1,7,10,32,12,32,31,2,3,50,37,43,46,38,27,11,15,4,37,4,3,45,36,22,34,4,11,21,1,15,15,28,45,26,49,24,37,41,21,43,31,47,27,23,20,16,9,10,36,9,5,22,50,32,13,3
Region I,Ilocos Norte,Bacarra II,100021,Pungto Elementary School,ILOCOS NORTE,BACARRA,1st District,PUNGTO,Public,DepED Managed,School with no Annexes,Purely ES,26,37,28,26,26,16,1,22,18,39,45,16,21,18,26,18,41,27,46,1,50,42,17,10,9,3,20,49,9,24,46,36,29,13,23,19,1,40,33,11,12,25,47,32,32,41,31,18,20,50,47,19,47,11,35,19,46,1
Region I,Ilocos Norte,Bacarra II,100022,San Agustin Elementary School,ILOCOS NORTE,BACARRA,1st District,SAN AGUSTIN II (POB.),Public,DepED Managed,School with no Annexes,Purely ES,10,4,7,19,16,28,46,40,14,48,19,32,2,48,7,48,44,24,47,40,38,5,14,4,21,22,23,29,34,14,4,13,26,16,31,37,12,36,9,8,28,9,22,4,22,5,30,45,14,17,10,20,38,28,6,43,11,18
Region I,Ilocos Norte,Bacarra II,100023,Tubburan Elementary School,ILOCOS NORTE,BACARRA,1st District,TUBBURAN,Public,DepED Managed,School with no Annexes,Purely ES,12,10,43,40,16,10,20,34,20,42,41,13,4,30,9,11,20,3,16,15,28,10,33,32,17,18,32,48,44,22,6,13,6,46,50,5,25,9,6,28,20,50,33,20,12,19,20,49,39,32,35,34,2,48,37,8,20,38
Region I,Ilocos Norte,Bacarra II,150023,Casilian Primary School - Taguipuro Annex,ILOCOS NORTE,BACARRA,1st District,CASILIAN,Public,DepED Managed,Annex or Extension school(s),Purely ES,8,32,19,32,44,20,27,2,1,13,38,2,13,46,2,41,12,19,47,35,25,49,19,43,14,46,23,35,46,6,3,42,40,41,29,12,32,34,44,6,22,26,24,47,14,5,6,48,39,11,44,36,18,33,15,43,39,35
Region I,Ilocos Norte,Badoc,100024,Ar-Arusip Elementary School,ILOCOS NORTE,BADOC,2nd District,AR-ARUSIP,Public,DepED Managed,School with no Annexes,Purely ES,15,8,13,4,10,12,43,11,5,17,45,8,14,34,17,14,23,32,20,11,41,24,29,49,42,10,37,21,35,3,44,4,21,9,46,19,30,36,31,10,30,14,12,29,6,13,22,34,3,13,42,39,3,28,3,20,43,47
Region I,Ilocos Norte,Badoc,100025,Badoc North Central School,ILOCOS NORTE,BADOC,2nd District,LACUBEN,Public,DepED Managed,School with no Annexes,Purely ES,5,22,8,28,16,42,32,22,35,21,2,38,29,6,50,36,7,43,32,34,6,33,2,42,21,20,36,36,50,47,49,25,7,35,19,4,37,16,7,12,11,5,47,9,38,25,33,17,29,8,47,10,9,50,5,21,22,42
Region I,Ilocos Norte,Badoc,100026,Badoc South Central School SPED Center,ILOCOS NORTE,BADOC,2nd District,GARRETA (POB.),Public,DepED Managed,School with no Annexes,Purely ES,31,33,21,15,43,35,18,2,42,29,28,39,24,19,1,50,12,28,8,36,3,18,41,37,43,5,27,10,48,49,41,6,40,8,33,22,35,2,16,25,21,46,22,19,6,32,43,13,33,33,5,23,17,13,44,36,48,37
Region I,Ilocos Norte,Badoc,100027,Camanga Elementary School,ILOCOS NORTE,BADOC,2nd District,CAMANGA,Public,DepED Managed,School with no Annexes,Purely ES,5,40,31,1,9,1,20,49,14,33,29,12,37,45,15,6,42,37,35,38,2,4,47,20,47,3,26,35,27,15,46,37,35,12,24,9,42,38,24,16,5,37,36,43,48,29,17,34,40,24,22,23,34,5,45,26,26,41
Region I,Ilocos Norte,Badoc,100029,Gabut Elementary School,ILOCOS NORTE,BADOC,2nd District,GABUT NORTE,Public,DepED Managed,School with no Annexes,Purely ES,3,46,44,31,14,9,7,31,1,32,43,36,41,11,24,5,32,19,31,39,47,19,33,9,13,38,21,9,21,15,45,32,18,35,47,27,26,38,43,19,38,41,47,31,27,28,14,7,34,32,25,16,18,8,1,14,6,11
Region I,Ilocos Norte,Badoc,100030,Labut Elementary School,ILOCOS NORTE,BADOC,2nd District,LABUT,Public,DepED Managed,School with no Annexes,Purely ES,10,19,6,3,35,48,24,45,14,12,42,31,2,40,15,27,15,21,36,25,16,46,28,24,7,16,7,18,7,15,35,3,8,23,46,30,18,18,38,12,19,3,49,46,6,9,46,31,6,32,23,18,41,27,29,46,35,18
Region I,Ilocos Norte,Badoc,100031,Lasien School,ILOCOS NORTE,BADOC,2nd District,NAPU,Public,DepED Managed,School with no Annexes,Purely ES,23,24,1,37,45,2,19,37,31,17,27,33,16,28,35,18,19,33,9,6,34,12,22,49,34,50,38,36,2,1,25,30,30,28,11,8,35,12,23,31,12,34,31,11,17,37,50,42,2,14,23,8,19,14,46,14,24,3
Region I,Ilocos Norte,Badoc,100032,Mabusag-Napu Elementary School,ILOCOS NORTE,BADOC,2nd District,MABUSAG NORTE,Public,DepED Managed,School with no Annexes,Purely ES,50,22,39,39,35,28,17,1,12,11,4,9,22,31,48,38,27,33,43,43,25,29,33,7,24,3,48,5,26,21,12,27,17,8,23,10,37,27,46,31,21,11,31,36,4,7,15,49,23,31,3,33,50,47,25,26,39,40
Region I,Ilocos Norte,Badoc,100033,Madupayas Elementary School,ILOCOS NORTE,BADOC,2nd District,MADUPAYAS,Public,DepED Managed,School with no Annexes,Purely ES,13,4,21,41,47,25,7,44,6,23,21,21,7,33,48,15,34,12,30,15,8,48,11,17,21,45,12,34,48,26,40,21,27,16,43,11,39,33,29,34,45,27,24,1,6,38,17,28,31,30,3,44,43,20,34,17,31,42
Region I,Ilocos Norte,Badoc,100034,Morong Elementary School,ILOCOS NORTE,BADOC,2nd District,MORONG,Public,DepED Managed,School with no Annexes,Purely ES,36,12,36,18,6,38,5,45,32,42,3,25,1,9,49,20,29,19,12,11,41,23,33,34,20,23,38,34,38,22,21,29,2,29,25,5,2,24,18,8,32,45,49,35,4,5,47,11,25,47,1,6,23,34,15,49,22,6
Region I,Ilocos Norte,Badoc,100035,Nagrebcan Elementary School,ILOCOS NORTE,BADOC,2nd District,ALAY-NANGBABAAN (ALAY 15-B),Public,DepED Managed,School with no Annexes,Purely ES,38,30,39,38,22,46,12,15,32,8,5,4,6,46,4,15,1,35,12,23,7,45,11,34,23,13,39,14,50,23,29,49,44,39,1,1,27,28,24,30,27,48,36,7,40,4,24,28,1,18,5,47,27,17,40,5,46,40
Region I,Ilocos Norte,Badoc,100036,Pagsanahan Elementary School,ILOCOS NORTE,BADOC,2nd District,PAGSANAHAN SUR,Public,DepED Managed,School with no Annexes,Purely ES,41,5,22,17,50,3,26,35,5,24,28,40,44,35,35,27,40,21,4,14,44,50,41,47,20,26,15,4,32,24,42,30,34,18,3,30,17,12,43,24,14,5,40,33,17,6,44,1,3,47,1,39,21,21,14,45,49,3
Region I,Ilocos Norte,Badoc,100037,Paltit Elementary School,ILOCOS NORTE,BADOC,2nd District,PARANG,Public,DepED Managed,School with no Annexes,Purely ES,14,14,5,35,48,31,41,11,27,47,41,7,39,10,29,8,36,28,26,41,17,3,9,47,38,34,41,46,3,47,24,15,19,37,48,27,46,17,16,40,21,32,48,28,22,49,22,22,48,26,33,27,34,46,49,16,32,50
Region I,Ilocos Norte,Badoc,100038,Pasuc-Parang Elementary School,ILOCOS NORTE,BADOC,2nd District,SANTA CRUZ NORTE,Public,DepED Managed,School with no Annexes,Purely ES,35,7,26,4,23,6,5,26,13,47,19,12,19,11,1,24,5,24,34,2,19,37,26,37,18,42,48,4,10,44,10,49,31,23,9,29,8,49,20,32,20,27,19,22,16,14,26,26,21,29,24,50,13,32,14,27,50,20
Region I,Ilocos Norte,Badoc,100039,Saud Elementary School,ILOCOS NORTE,BADOC,2nd District,SAUD,Public,DepED Managed,School with no Annexes,Purely ES,23,18,41,45,45,41,22,33,14,24,40,19,7,5,4,8,16,10,16,42,40,9,10,33,33,25,23,30,6,28,13,45,24,10,2,34,40,19,16,46,44,5,27,48,46,17,40,32,23,26,19,14,19,19,44,15,26,49
Region I,Ilocos Norte,Badoc,100040,Sta. Cruz Elementary School,ILOCOS NORTE,BADOC,2nd District,SANTA CRUZ SUR,Public,DepED Managed,School with no Annexes,Purely ES,26,25,14,16,17,31,13,12,25,33,13,5,6,38,41,14,5,30,28,12,8,33,37,26,11,40,39,11,48,17,11,42,10,43,49,17,32,40,22,14,27,7,25,17,14,2,16,50,37,45,3,33,36,46,7,3,9,34
Region I,Ilocos Norte,Badoc,100041,Turod Elementary School,ILOCOS NORTE,BADOC,2nd District,TUROD,Public,DepED Managed,School with no Annexes,Purely ES,5,44,36,9,24,39,10,16,33,45,32,12,16,40,12,4,49,41,9,12,12,26,1,40,30,15,38,50,22,36,34,41,16,42,15,43,27,7,17,19,4,24,15,8,13,29,8,2,37,40,45,45,21,24,10,29,5,11
Region I,Ilocos Norte,Badoc,100042,Virgen Milagrosa Elementary School,ILOCOS NORTE,BADOC,2nd District,LA VIRGEN MILAGROSA (PAGUETPET),Public,DepED Managed,School with no Annexes,Purely ES,13,32,15,23,47,24,12,5,7,22,49,3,21,6,29,3,27,23,16,7,36,22,37,33,17,30,19,23,14,39,8,22,10,37,32,1,15,34,39,42,8,37,32,34,26,33,12,2,39,33,38,50,27,30,22,19,14,32
Region I,Ilocos Norte,Badoc,150001,Aring Elementary School,ILOCOS NORTE,BADOC,2nd District,ARING,Public,DepED Managed,School with no Annexes,Purely ES,48,31,41,15,16,42,2,17,6,15,11,19,12,8,28,25,34,31,34,7,14,44,3,10,18,25,12,22,29,18,49,12,3,8,36,38,39,47,49,33,38,13,37,2,5,12,39,17,21,17,49,2,17,50,43,14,11,44
Region I,Ilocos Norte,Badoc,150002,Mabusag Sur Elementary School,ILOCOS NORTE,BADOC,2nd District,MABUSAG SUR,Public,DepED Managed,School with no Annexes,Purely ES,45,12,36,20,1,2,15,20,3,9,19,41,21,43,32,24,20,44,37,3,49,40,44,22,12,13,25,4,29,15,42,34,44,26,39,46,46,48,15,39,39,6,46,39,47,22,7,37,50,21,35,31,10,23,34,13,25,23
Region I,Ilocos Norte,Badoc,300021,Nagrebcan NHS,ILOCOS NORTE,BADOC,2nd District,ALAY-NANGBABAAN (ALAY 15-B),Public,DepED Managed,School with no Annexes,JHS with SHS,49,27,16,15,29,4,23,44,45,8,30,18,49,25,35,38,8,22,32,13,4,44,34,28,32,16,21,23,40,24,2,17,33,18,48,40,11,49,36,43,10,43,21,48,13,50,12,31,41,45,8,50,20,15,7,41,38,38
Region I,Ilocos Norte,Badoc,300023,Pagsanahan NHS,ILOCOS NORTE,BADOC,2nd District,PAGSANAHAN NORTE,Public,DepED Managed,School with no Annexes,JHS with SHS,46,40,49,19,50,13,12,47,35,39,11,33,20,9,3,48,44,16,41,27,9,32,36,26,49,34,23,47,15,18,46,47,29,28,4,30,1,49,33,10,45,40,18,16,30,21,20,10,34,8,21,44,22,7,43,36,7,8
Region I,Ilocos Norte,Badoc,400002,"Badoc Junior College, Inc.",ILOCOS NORTE,BADOC,2nd District,CANAAN (POB.),Private,Non-Sectarian ,School with no Annexes,JHS with SHS,42,9,30,16,23,25,9,20,48,50,45,6,9,41,45,9,25,46,48,39,32,24,24,37,35,13,30,33,48,10,29,26,43,17,22,11,8,16,19,29,31,29,6,28,50,37,31,36,15,37,28,50,32,28,20,30,49,29
Region I,Ilocos Norte,Badoc,400003,"IGAMA Colleges Foundation, Inc.",ILOCOS NORTE,BADOC,2nd District,GARRETA (POB.),Private,Non-Sectarian ,School with no Annexes,All Offering,47,15,18,1,25,9,5,35,25,33,25,25,46,29,13,16,27,25,2,30,19,37,42,31,47,31,41,30,39,33,12,30,14,44,6,10,35,16,3,38,26,32,27,22,2,17,1,32,1,37,48,38,4,8,8,46,33,17
Region I,Ilocos Norte,Badoc,400004,"Juan Luna Memorial Academy, Inc.",ILOCOS NORTE,BADOC,2nd District,ALOGOOG,Private,Non-Sectarian ,School with no Annexes,JHS with SHS,12,27,14,42,19,42,45,33,38,21,31,3,2,49,2,11,18,18,50,28,8,42,6,13,45,36,30,17,2,27,46,49,17,47,6,15,13,50,5,46,1,35,23,7,27,36,14,19,31,10,9,46,5,8,4,17,28,32
Region I,Ilocos Norte,Badoc,400005,St. Elizabeth Elementary School,ILOCOS NORTE,BADOC,2nd District,GARRETA (POB.),Private,Sectarian ,School with no Annexes,Purely ES,27,9,18,44,34,27,11,31,17,11,35,12,47,31,34,4,13,50,14,26,34,28,19,19,10,7,33,17,19,8,38,48,17,48,4,14,45,15,32,22,14,11,33,21,37,44,49,47,37,19,49,50,34,33,1,49,1,7
Region I,Ilocos Norte,Badoc,410025,"Badoc Little Angels Learning Center, Inc.",ILOCOS NORTE,BADOC,2nd District,CANAAN (POB.),Private,Non-Sectarian ,School with no Annexes,Purely ES,13,25,1,47,8,2,18,37,12,21,16,2,29,5,17,43,19,24,3,38,15,1,10,4,28,32,27,4,12,6,25,38,34,11,20,38,47,33,29,40,25,28,22,21,25,47,9,35,27,8,30,12,2,3,14,47,45,45
Region I,Ilocos Norte,Badoc,500000,Caraitan Integrated School,ILOCOS NORTE,BADOC,2nd District,CARAITAN,Public,DepED Managed,School with no Annexes,All Offering,7,41,50,46,42,36,1,18,46,1,28,1,15,9,50,28,28,19,31,41,37,48,47,47,6,13,24,31,22,30,13,48,14,45,44,5,24,43,40,5,49,6,25,6,33,2,30,20,16,36,1,17,11,43,10,14,27,1
Region I,Ilocos Norte,Bangui,100043,Abaca Elementary School,ILOCOS NORTE,BANGUI,1st District,ABACA,Public,DepED Managed,School with no Annexes,Purely ES,36,18,29,18,46,2,42,46,21,10,16,3,9,33,7,45,29,35,41,23,42,17,4,17,46,11,16,12,46,43,45,5,8,2,7,30,1,14,11,33,50,18,10,20,23,38,40,10,49,37,43,24,32,7,6,21,1,1
Region I,Ilocos Norte,Bangui,100044,Alao-ao Elementary School,ILOCOS NORTE,BANGUI,1st District,PAYAC,Public,DepED Managed,School with no Annexes,Purely ES,4,25,8,41,22,16,11,42,3,4,33,44,36,2,36,18,28,9,13,10,14,34,2,6,20,6,38,4,24,40,30,38,28,12,4,42,33,38,18,36,6,26,29,38,7,48,18,50,40,7,25,47,13,47,27,47,3,33
Region I,Ilocos Norte,Bangui,100045,Bacsil Elementary School,ILOCOS NORTE,BANGUI,1st District,BACSIL,Public,DepED Managed,School with no Annexes,Purely ES,13,42,4,45,24,9,22,14,19,46,22,23,17,49,47,1,27,3,2,5,11,45,29,3,26,28,5,17,42,3,15,5,40,21,23,4,20,35,45,21,34,50,2,23,26,5,15,8,7,19,27,49,7,47,35,33,9,41
Region I,Ilocos Norte,Bangui,100046,Banban Elementary School,ILOCOS NORTE,BANGUI,1st District,BANBAN,Public,DepED Managed,School with no Annexes,Purely ES,23,8,40,46,7,34,33,19,22,36,49,39,43,27,20,15,27,16,25,35,24,21,13,38,1,12,34,8,38,18,20,4,4,14,3,28,39,36,44,43,34,43,12,23,1,47,31,32,32,40,42,35,14,36,47,18,10,49
Region I,Ilocos Norte,Bangui,100047,Bangui CES,ILOCOS NORTE,BANGUI,1st District,SAN LORENZO (POB.),Public,DepED Managed,School with no Annexes,Purely ES,36,50,34,11,37,37,20,16,41,5,31,28,43,32,11,13,10,30,5,18,50,32,36,7,36,45,31,2,5,33,25,42,18,37,3,40,30,43,21,20,1,3,6,11,3,14,19,25,38,18,42,2,44,37,18,38,45,50
